text,is_deceptive,explanation
"Get ready.  Beginning in November, electronic pay stubs will be available to all employees who have their paychecks direct deposited into their bank account.  Electronic pay stubs are an easy, fast, and efficient way for you to get your payroll information.  They will also help Enron to realize a considerable savings in time and dollars spent over traditional printed pay stubs.
If you prefer to receive a hardcopy of your pay stub, click on the link below to complete a request form.  This form must be submitted to Payroll by October 15, 2001.  Unless you submit a form your pay stub information will default to electronic viewing.
Please click on the link below.
Name:             TRACY GEACCONE
Personnel number: P00505341
Phone:            7138537372
If you have questions about electronic pay stubs, please contact Janice Priddy (Payroll) 713-853-7839 or Marie Newhouse (ClickAtHome) at 713-345-4185 or send an email to  Enron.Payroll@enron.com (Enron Payroll in Outlook).
Stay tuned for more details in the coming weeks.",Placeholder,Placeholder explanation
"Your
account has been
suspended!
PayPal Security Measures.
Dear PayPal Member,
Your account has been suspended in our system as a part of our routine
security measures. This is a must to ensure that only you have access and use of your
Paypal account
and to ensure a safe PayPal experience. We require all flagged accounts
to verify their information on file with us. To verify your information at this time,
please visit our secure
server webform by clicking the hyperlink below:
Click here to verify your
Information
If you choose to ignore our request, you leave us no choice but to temporarily
suspend your account.
Thank you for your patience as we work together to protect your
account.
?Helpful Links: ID Theft
Resources | Help Center | PayPal Shops | Password
Help
Please do not replay to
this e-mail. To modify your notification preferences, log in to your PayPal account, click
the Profile sub-tab, then click the Notifications link under Account
Information. Changes may take up to 10 days to be reflected in our mailings. PayPal will
not sell or rent any of your
personally identifiable information to third parties.
Copyright ? 2007 PayPal Inc. All rights reserved. Designated trademarks and
brands are the property of their respective owners. PayPal is located at 2211 N. First
St., San Jose, CA
95131.",Placeholder,Placeholder explanation
"Tremendous Savings
on Toners,
Inkjets, FAX, and Thermal Replenishables!!
Toners 2 Go
is your secret
weapon to lowering your cost for High Quality,
Low-Cost printer
supplies!  We have been in the printer
replenishables business since 1992,
and pride ourselves on rapid response and outstanding
customer service.
What we sell are 100% compatible replacements for
Epson, Canon, Hewlett Packard,
Xerox, Okidata, Brother, and Lexmark; products that
meet and often exceed
original manufacturer's specifications.
Check out these
prices!
Epson Stylus
Color inkjet cartridge
(SO20108):     Epson's Price:
$27.99
Toners2Go price: $9.95!
HP
LaserJet 4 Toner Cartridge
(92298A):
HP's
Price:
$88.99
Toners2Go
price: $41.75!
Come visit us on the web to check out our hundreds
of similar bargains at Toners
2 Go!
request to be excluded by visiting HERE
michaell",Placeholder,Placeholder explanation
"Your Mailbox Has Exceeded It Storage Limit As Set By Your Administrator, And You Will Not Be Able To Receive New Mails Until You Re-Validate It. To Re-Validate  - > Click Here
: System Administrators
**********************************************************************
VIETSOVPETRO Joint Venture
105 Le Loi Street, Vung Tau City, Vietnam
Tel: +84.64.3839 871
Fax: +84.64.3839857
**********************************************************************
WARNING: Vietsovpetro email system could not scan the attached files for viruses. Only open them if received from a trusted source.",Placeholder,Placeholder explanation
"Hi everyone
I have been through the ideas and offer a few (aptly non organised) comments. First Phil is
away and will not be able to comment until later.
First, the project needs more explicit focus. The call will focused on natural variability
. We are offering a detailed analysis of the variability of climate in the Alpine Region
that focuses on CLIVAR timescales - basically very high resolution and not extending much
beyond a few centuries. The project incorporates instrumental , model and palaeodata . The
inter-relationships between these will be studied to gain an understanding of the nature
and mechanisms of the climate variability - but is this enough. I feel it needs to be
linked with a strong element of understanding the range of social/economic impacts of this
variability.
Perhaps looking at aspects such as avalanches, forest damage, floods, tourism etc.? I
merely put this out as a straw man . I feel the EC are putting a lot of emphasis on this
aspect of research and incorporating research and researchers in these or similar areas
will be a big plus.
As for the specific points in the brainstorming document -
The Dendro aspect :
I think it is essential to update the Alpine tree-ring chronologies that are available .
This is because they are a proven asset but many questions regarding tree-productivity (in
relation to observed 20th century climate variability) simply can not be addressed without
doing this. Many were collected over 20 years ago. The additional data would then allow new
processing techniques to be employed and vital questions concerning the changing responses
of tree-growth to explored. The most efficient way to do this is to involve several groups
working in the Alps , (Thank you for sending the Thesis by Giorgio Strumia which is
certainly a very impressive piece of work) I would think Rupert Wimmer's group and the
Birmensdorf group would be ideal (Fritz Schweingruber has retired but Jan Esper has joined
them in his place - I can ask them to be involved but this depends on what the group here
think are the priorities and how much we see as the overall budget and institutional
allocations). I should say here that I think we would require money for a single person who
could , if it is  agreed, work on aspects of tree-ring processing and relationships with
climate in association with the other tree-ring groups, but also work with the climate and
model data , especially with a view to exploring the statistical inter-relationships and
dynamical associations between the different climate data sets. There is also the French
tree-ring group at Marseille? Perhaps though not all need to partners - ALSO I am thinking
of putting together a European Tree-ring project (or suggesting it as part of a large
European integrated proxy study of Holocene variability) so if this happened there could be
a link between it (involving some of the groups mentioned) and this proposal. The Swiss
might be interested to produce selected site tree-ring density/updating which I think would
be very valuable and I will speak to them without commitment as you ask.
As for some of the climate analysis possibilities mentioned, I very much like the ideas of
detailed ,local climate comparisons with the larger CRU (and CRUder!) data. We are very
interested in the association between time dependence in the relationships between
circulation changes and changes in Temp. and Prec. Also changes in the nature of climate
seasonality , and also extreme events (frost frequency , drought, intense rainfall). The
detailed analyses of these characteristics also compliments the interpretational work on
the tree-ring and glacier mass balance (and socio economic foci) data.
As for the glacier work - is not a huge effort already going into this? I think it is
important but does it fit as well ? The work proposed would have to be distinguished from
other ongoing efforts - though I do like the idea of linking the geomorphological evidence
of past glacier change (moraines , pro-glacial sediment data?) with reconstructed glacier
volume changes , where the reconstructions are based on new long instrumental data , and
palaeodata (temp. and precip.) used to drive a model of the glacier volume.  Our German (or
Julie) colleagues can point to such work based on GCM output . My colleague here (Sarah
Raper) has also done this sort of work but using a very simple model to estimate past
Storglaciaren (in Sweden) volume changes  and her results imply that these models must be
forward driven and not based on simple regression analysis using temperature and
precipitation to estimate past mass balance.
The future aspects of the discussion are important - and it is true that the previous EC
call dealt with modelling and scenarios of future changes. Here, I believe the use of
models should be strictly limited to understanding natural /current variability and change.
There is no benefit in going for a 2 year project - I strongly urge 3. I also would find a
meeting difficult. I am away from 17-29 July, and 11-25 August, and in meetings during
7-10th July and 26-31st August.
Phil will be back here next week and will no doubt comment in more detail on the
instrumental analysis aspects then.
Very best wishes to all
Keith
At 05:13 PM 6/25/01 +0200, Dr. Reinhard Böhm wrote:
Friends,
As announced last Friday, we want to open a first round of brainstorming about the
contents of our project. We have collected what we have received from You so far and
have it mixed with our own ideas (file Brainstorming-1.doc). It does not have a nice
structure and there are still a number of question marks, as You will see.
Please add things where you think something is missing and please feel free to tell us
which points make no sense, or are too ambitious or simply too much work.
Please consider also the ""how to do it"" (state of the art methods, new approaches to
solve problems, other data than those mentioned, other topics.....).
Please try also to find Your position in the project, tell us what You would prefer to
do....
Please try to consider whether we would have to include other groups in terms of
scientific potential and/or in terms of data (For example: Keith Briffa you mentioned
Fritz Schweingruber as the leading data holder of Alpine tree-ring data. Do you think we
should ask him to join us, or could You use his data also without him being a contractor
of the project? In case You want him in the project could we kindly ask you to contact
him, being much more familiar with him and with the tree-ring topic than we are?)
We would be glad to receive a very short answer from everybody within this week, because
from June 30th to July 15th all the three of us will not be at the institute.
For more detailed considerations and answers You have more time, it would be nice to be
able to study them after our return by mid of July. But please use also the
possibilities to contact  the other groups - the sooner we integrate to a group the
better it is.
Our time-table for the rest of the time until October:
July 16th to August 14th: We are at the institute, hoping to bring the project into a
near to final version what concerns the scientific content
August 15th to August 28th: Ice core conference at Kangerlussuaq (Greenland)
August 29th to September 17th: We are at the institute most of the time. We hope this
will be the time to elaborate the EU-shaped complete version.
September 18th to September 22nd: Big events going on in Vienna which may cut down our
time for the project (150th anniversary of our institute, Climate conference DACH-2001
(in German))
September 24th to October: Time reserved for all the things that could not be done yet
in spite of our time table
Could each of You please inform us about Your time table during summer and autumn?
A question to all of You: How do You think about one 2-days meeting this Summer or in
early September? What place do You prefer? If it is Austria we would have two low cost
possibilities: 1): at our institute  and 2) (more adventurous): At the
Sonnblick-observatory (You do not have to have Alpinistic experience, we have a private
cable car going up)
Some remaining questions:
Should we try a 2-years or a 3-years project?
Can everybody live with roughly 300.000 Euro (This would result into somewhere between
1.5 and two millions, which we heard is a magnitude preferred by the commission). Please
consider not only the sum of money but also how to spend it and how to fill it with a
reasonable equivalent in work amount.
What is your feeling about the ""Climate variability atlas of the Alps""? Is it good to
have one main deliverable like that or should we better produce a number of smaller
things?
One last technical remark:  Please send your comments and mails not only to Vienna, but
also to the other groups (or at least to those You believe would be interested in what
You write). I do not think this would spoil too much our mail boxes and it has the
advantage to include the whole intellectual power of our group into the construction
phase of the proposal.
Looking forward to Your replies, ideas, time tables and anything else
With best regards
Reinhard
--
Dr. Keith Briffa, Climatic Research Unit, University of East Anglia,
Norwich, NR4 7TJ, United Kingdom
Phone: +44-1603-593909    Fax: +44-1603-507784",Placeholder,Placeholder explanation
"Dear Tom,
Thanks for forwarding the message from John Christy. Excuse me for being
so blunt, but John's message is just a load of utter garbage.
I got a laugh out of John's claim that Santer et al. (2008) was ""poorly
done"". This was kind of ironic coming from a co-author of the Douglass
et al. (2007) paper, which used a fundamentally flawed statistical test
to compare modeled and observed tropospheric temperature trends. To my
knowledge, John has NEVER acknowledged that Douglass et al. used a
flawed statistical test to reach incorrect conclusions - despite
unequivocal evidence from the ""synthetic data"" experiments in Santer et
al. (2008) that the Douglass et al. ""robust consistency"" test was simply
wrong. Unbelievably, Christy continues to assert that the results of
Douglass et al. (2007) ""still stand"". I can only shake my head in
amazement at such intellectual dishonesty. I guess the best form of
defense is a ""robust"" attack.
So how does John support his contention that Santer et al. (2008) was
""poorly done""? He begins by stating that:
""Santer et al. 2008 used ERSST data which I understand has now been
changed in a way that discredits the conclusion there"".
Maybe you or Tom Peterson or Dick Reynolds can enlighten me on this one.
How exactly have NOAA ERSST surface data changed? Recall that Santer et
al. (2008) actually used two different versions of the ERSST data
(version 2 and version 3). We also used HadISST sea-surface temperature
data, and combined SSTs and land 2m temperature data from HadCRUT3v. In
other words, we used four different observational estimates of surface
temperature changes. Our bottom-line conclusion (no significant
discrepancy between modeled and observed lower-tropospheric lapse-rate
trends) was not sensitive to our choice of observed surface temperature
dataset.
John next assets that:
""Haimberger's v1.2-1.4 (of the radiosonde data) are clearly spurious due
to the error in ECMWF as published many places"".
I'll let Leo Haimberger respond to that one. And if v1.2 of Leo's data
is ""clearly spurious"", why did John Christy agree to be a co-author on
the Douglass et al. paper which uses upper-air data from v1.2?
Santer et al. (2008) comprehensively examined structural uncertainties
in the observed upper-air datasets. They looked at two different
satellite and seven different radiosonde-based estimates of tropospheric
temperature change. As in the case of the surface temperature data,
getting the statistical test right was much more important (in terms of
the bottom-line conclusions) than the choice of observational upper-air
dataset.
Christy's next criticism of our IJoC paper is even more absurd. He
states that:
""Santer et al. 2008 asked a very different question...than we did. Our
question was ""Does the IPCC BEST ESTIMATE agree with the Best Data
(including RSS)?"" Answer - No.  Santer et al. asked, ""Does ANY IPCC
model agree with ANY data set?"" ... I think you can see the difference.
Actually, we asked and answered BOTH of these questions. ""Tests with
individual model realizations"" are described in Section 4.1 of Santer et
al. (2008), while Section 4.2 covers ""Tests with multi-model
ensemble-mean trend"". As should be obvious - even to John Christy - we
did NOT just compare observations with results from individual models.
For both types of test (""individual model"" and ""multi-model average""),
we found that, if one applied appropriate statistical tests (which
Douglass et al. failed to do), there was no longer a serious discrepancy
between modeled and observed trends in tropical lapse rates or in
tropical tropospheric temperatures.
Again, I find myself shaking my head in amazement. How can John make
such patently false claims about our paper? The kindest interpretation
is that he is a complete idiot, and has not even bothered to read Santer
et al. (2008) before making erroneous criticisms of it. The less kind
interpretation is that he is deliberately lying.
A good scientist is willing to acknowledge the errors he or she commits
(such as applying an inappropriate statistical test). John Christy is
not a good scientist. I'm not a religious man, but I'm sure willing to
thank some higher authority that Dr. John Christy is not the
""gatekeeper"" of what constitutes sound science.
I hope you don't mind, Tom, but I'm copying this email to some of the
other co-authors of the Santer et al. (2008) IJoC paper. They deserve to
know about the kind of disinformation Christy is spreading.
With best regards,
Ben
Thomas R. Karl wrote:
> FYI
>
> -------- Original Message --------
> Subject: 	Re: [Fwd: concerns about the Southeast chapter]
> Date: 	Mon, 27 Jul 2009 09:54:22 -0500
> From: 	John Christy
> To: 	Thomas C Peterson
> CC: 	Thomas R Karl
> References:
>
>
>
> Tom:
>
> I've been on a heavy travel schedule and just now getting to emails I've
> delayed.  I was in Asheville briefly Thursday for a taping for the CDMP
> project at the Biltmore estates (don't know why that was the backdrop)
> while traveling between meetings in Chapel Hill, Atlanta and here.
>
> We disagree on the use of available climate information regarding the
> many things related to climate/climate change as I see by your responses
> below - that is not unexpected as climate is an ugly, ambiguous, and
> complex system studied by a bunch of prima donnas (me included) and
> which defies authoritative declarations.  I base my views on hard-core,
> published literature (some of it mine, but most of it not), so saying
> otherwise is not helpful or true.  The simple fact is that the opinions
> expressed in the CCSP report do not represent the real range of
> scientific literature (the IPCC fell into the same trap - so running to
> the IPCC's corner doesn't move things forward).
>
> I think I can boil my objections to the CCSP Impacts report to this one
> idea for the SE (and US): The changes in weather variables (measured in
> a systematic settings) of the past 30 years are within the range of
> natural variability.  That's the statement that should have been front
> and center of this whole document because it is
> mathematically/scientifically defensible.  And, it carries more weight
> with planners so you can say to them, ""If it happened before, it will
> happen again - so get ready now.""  By the way, my State Climatologist
> response to the CCSP was well-received by legislators and stakeholders
> (including many in the federal government) and still gets hits at
> 
>
> There also was a page or so on the tropical troposphere-surface issue
> that I didn't talk about on my response.  It was wrong because it did
> not include all the latest research (i.e. since 2006) on the continuing
> and significant difference between the two trends.  Someone was acting
> as a fierce gatekeeper on that one - citing only things that agreed with
> the opinion shown even if poorly done (e.g. Santer et al. 2008 used
> ERSST data which I understand has now been changed in a way that
> discredits the conclusion there, and Haimberger's v1.2-1.4 are clearly
> spurious due to the error in ECMWF as published many places, but
> analyzed in detail in Sakamoto and Christy 2009).  The results of
> Douglass et al. 2007 (not cited by CCSP) still stand since Santer et al.
> 2008 asked a very different question (and used bad data to boot) than we
> did.  Our question was ""Does the IPCC BEST ESTIMATE agree with the Best
> Data (including RSS)?"" Answer - No.  Santer et al. asked, ""Does ANY IPCC
> model agree with ANY data set?"" ... I think you can see the difference.
> The fact my 2007 tropical paper (the follow-on papers in 2009 were
> probably too late, but they substantiate the 2007 paper) was not cited
> indicates how biased this section was.  Christy et al. 2007 assessed the
> accuracy of the datasets (Santer et al. did not - they assumed all
> datasets were equal without looking at the published problems) and we
> came up with a result that defied the ""consensus"" of the CCSP report -
> so, it was doomed to not be mentioned since it would disrupt the
> storyline.  (And, as soon as RSS fixes their spurious jump in 1992, our
> MSU datasets will be almost indistinguishable.)
>
> This gets to the issue that the ""consensus"" reports now are just the
> consensus of those who agree with the consensus.  The
> government-selected authors have become gatekeepers rather than honest
> brokers of information.  That is a real tragedy, because when someone
> becomes a gatekeeper, they don't know they've become a gatekeeper - and
> begin to (sincerely) think the non-consensus scientists are just nuts
> (... it's more comfortable that way rather than giving them credit for
> being skeptical in the face of a paradigm).
>
> Take care.
>
> John C.
>
> p.s. a few quick notes are interspersed below.
>
>
> Thomas C Peterson wrote:
>> Hi, John,
>>    I didn't want this to catch you by surprise.
>>             Tom
>>
>> -------- Original Message --------
>> Subject:     concerns about the Southeast chapter
>> Date:     Tue, 07 Jul 2009 09:25:45 -0400
>> From:     Thomas C Peterson
>> To:     jim.obrien@coaps.fsu.edu
>> CC:     Tom Karl
>>
>>
>>
>> Dear Jim,
>>
>>
>> First off and most importantly, congratulations on your recent
>> marriage. Anthony said it was the most touching wedding he has ever
>> been to. I wish you and your bride all the best.
>>
>> Thank you for your comments and for passing on John Christy's detailed
>> concerns about the Southeast chapter of our report, /Global Climate
>> Change Impacts in the United States/. Please let me respond to the key
>> points he raised.
>>
>> In Dr. John Christy's June 23, 2009 document ""Alabama climatologist
>> responds to U.S. government report on regional impacts of global
>> climate change"", he primarily focused on 4 prime concerns:
>>
>> 1.  Assessing changes since 1970.
>>
>> 2.  Statements on hurricanes.
>>
>> 3.  Electrical grid disturbances (from the Energy section).
>>
>> 4.  Using models to assess the future.
>>
>>
>>
>> /1.  Assessing changes since 1970./
>>
>> The Southeast section has 5 figures and one table.  One figure is on
>> changes in precipitation patterns from 1901-2007. The next figure is
>> on patterns of days per year over 90F with two maps, one 1961-1979,
>> the other 2080-2099.  One figure is on the change in freezing days per
>> year, 1976-2007. The next figure is on changes to a barrier island
>> land from 2002 to 2005. And the last figure was on Sea Surface
>> Temperature from 1900 to the present.  The table indicates trends in
>> temperature and precipitation over two periods, 1901-2008 and
>> 1970-2008.  As Dr. Christy indicates in his paper, the full period and
>> the period since 1970 are behaving differently. To help explain this,
>> the table shows them both. Of the 5 figures, only one shows the
>> changes over this shorter period.
>>
>> Since, as the IPCC has indicated, the human impact on climate isn't
>> distinguishable from natural variability until about 1950, describing
>> the changes experienced in the majority of the time since 1950 would
>> be a more logical link to future anthropogenic climate change.  In
>> most of the report, maps have shown the changes over the last 50
>> years. Because of the distinct behavior of time series of
>> precipitation and temperature in the Southeast, discussing the period
>> since 1970 seemed more appropriate. Though as the figures and table
>> indicate, this shorter period is not the sole or even major focus.
>
> See crux of the matter in email above - looking at the whole time series
> is demanded by science.  Any 30 or 50-year period will give changes -
> blaming the most recent on humans ignores the similar (or even more
> rapid) changes that occurred before industrialization (e.g. western
> drought in 12th century).  The period since 1970 WAS the major focus in
> the SE section (mentioned 6 times in two pages).  And, OF COURSE any
> 30-year sub-period will have different characteristics than the 100-year
> population from which it is extracted ... that doesn't prove anything.
>>
>>
>>
>> /2.  Statements on hurricanes./
>>
>> Dr. Christy takes issue with the report's statements about hurricanes
>> and quotes a line from the report and quotes an individual hurricane
>> expert who says that he disagrees with the conclusions. The line in
>> the report that Dr. Christy quotes comes almost word for word out of
>> CCSP SAP 3.3. While individual scientists may disagree with the
>> report's conclusions, this conclusion came directly out of the
>> peer-reviewed literature and assessments. Dr. Christy also complains
>> that ""the report did not include a plot of the actual hurricane
>> landfalls"".  However, the section in the Southeast chapter discussing
>> landfalling hurricanes states ""see /National Climate Change/ section
>> for a discussion of past trends and future projections"" and sure
>> enough on page 35 there is a figure showing land falling hurricanes
>> along with a more in depth discussion of hurricanes.
>>
> You didn't read my State Climatologist response carefully - I mentioned
> page 35 and noted again it talked about the most recent decades (and
> even then, the graph still didn't go back to 1850).  This hurricane
> storyline was hit hard by many scientists - hence is further evidence
> the report was generated by a gatekeeper mentality.
>>
>>
>> /3.  Electrical grid disturbances (from the Energy section)./
>>
>> Moving out of the Southeast, Dr. Christy complains about one figure in
>> the Energy Chapter. Citing a climate skeptic's blog which cites an
>> individual described as the keeper of the data for the Energy
>> Information Administration (EIA), John writes that the rise in weather
>> related outages is largely a function of better reporting.  Yet the
>> insert of weather versus non-weather-related outages shows a much
>> greater increase in weather-related outages than non-weather-related
>> outages.  If all the increases were solely due to better reporting,
>> the differences between weather- and non-weather-related outages would
>> indicate a dramatic decrease over this time period in non-weather
>> related problems such as transmission equipment failures, earthquakes,
>> faults in line, faults at substations, relaying malfunctions, and
>> vandalism.
>>
>> Thanks to the efforts of EIA, after they took over the responsibility
>> of running the Department of Energy (DOE) data-collection process
>> around 1997, data collection became more effective. Efforts were made
>> in subsequent years to increase the response rate and upgrade the
>> reporting form. It was not until EIA's improvement of the data
>> collection that the important decoupling of weather- and
>> non-weather-related events (and a corresponding increase in the
>> proportion of all events due to weather extremes) became visible.
>>
>> To adjust for potential response-rate biases, we have separated
>> weather- and non-weather-related trends into indices and found an
>> upward trend only in the weather-related time series.
>>
>> As confirmed by EIA, *if there were a systematic bias one would expect
>> it to be reflected in both data series (especially since any given
>> reporting site would report both types of events).*
>>
>> As an additional precaution, we focused on trends in the number of
>> events (rather than customers affected) to avoid fortuitous
>> differences caused by the population density where events occur. This,
>> however, has the effect of understating the weather impacts because of
>> EIA definitions (see survey methodology notes below).
>>
>> More details are available at:
>> 
>
> The data were not systematically taken and should not have been shown
> .. basic rule of climate.
>>
>>
>>
>> /4.  Using models to assess the future./
>>
>> Can anyone say anything about the future of the Southeast's climate?
>> Evidently according to John Christy, the answer is no. The basic
>> physics of the greenhouse effect and why increasing greenhouse gases
>> are warming and should be expected to continue to warm the planet are
>> well known and explained in the /Global Climate Change/ section of the
>> report. Climate models are used around the world to both diagnose the
>> observed changes in climate and to provide projections for the
>> future.  There is a huge body of peer-reviewed literature, including a
>> large number of peer-reviewed climate change assessments, supporting
>> this use. But in Dr. Christy's ""view,"" models should not be used for
>> projections of the future, especially for the Southeast.  The report
>> based, and indeed must base, its results on the huge body of
>> peer-reviewed scientific literature rather than the view of one
>> individual scientist.
>
> No one has proven models are capable of long-range forecasting.
> Modelers write and review their own literature - there are millions of
> dollars going into these enterprises, so what would you expect?
> Publication volume shouldn't impress anyone.  The simple fact is we
> demonstrated in a straightforward and reproducible way that the actual
> trends over the past 30, 20, and 10 years are outside of the envelop of
> model predictions ... no one has disputed that finding with an
> alternative analysis - even when presented before congressional hearings
> where the opportunity for disagreement was openly available.
>>
>> I hope this helps relieve some of your concerns.
>>
>> Regards,
>>
>>     Tom Peterson
>>
>>
>>
>
>
> --
> ************************************************************
> John R. Christy
> Director, Earth System Science Center   voice: 256-961-7763
> Professor, Atmospheric Science          fax:   256-961-7751
> Alabama State Climatologist
> University of Alabama in Huntsville
> 
>
> Mail:	 ESSC-Cramer Hall/University of Alabama in Huntsville, Huntsville AL 35899
> Express:   Cramer Hall/ESSC, 320 Sparkman Dr., Huntsville AL 35805
>
>
>
> --
>
> *Thomas R. Karl, L.H.D.*
>
> Director, NOAA’s National Climatic Data Center
>
> Lead, NOAA Climate Services
>
> Veach-Baley Federal Building
>
> 151 Patton Avenue
>
> Asheville, NC 28801-5001
>
> Tel: (828) 271-4476
>
> Fax: (828) 271-4246
>
> Thomas.R.Karl@noaa.gov
>
>
>
--
----------------------------------------------------------------------------
Benjamin D. Santer
Program for Climate Model Diagnosis and Intercomparison
Lawrence Livermore National Laboratory
P.O. Box 808, Mail Stop L-103
Livermore, CA 94550, U.S.A.
Tel:   (925) 422-3840
FAX:   (925) 422-7675
email: santer1@llnl.gov
----------------------------------------------------------------------------",Placeholder,Placeholder explanation
"Your New Daily Edition

If you are unable to see the message below, click here to view it in a browser.

         

     
        


           



CLICK HERE FOR TODAY'S EDITION

Sundance: Michael De Luca Talks 50 Shades of Grey Adaptation
Vet producer joined by PGA head Van Petten for wide-ranging breakfast discussion
Sundance: Fox Searchlight Acquires U.S. Rights to Calvary
Dramedy centers on priest whose life is threatened by unseen man during confession
Rashida Jones Tapped to Topline TBS Comedy Pilot Tribeca
Officeâs Carell co-created and will direct, co-executive produce police-procedural satire
Universal Film Head Jeff Shell Installs New CFO Rowan Conn
Conn will replace exiting exec vp/CFO Gamble, who served for more than five years
The Mummy, Dazed and Confused Producer James Jacks Dies
His other credits include Raising Arizona, Tombstone, Mallrats, Intolerable Cruelty",Placeholder,Placeholder explanation
"PayPal is constantly working to ensure security by
regularly
screening the accounts in our system. We recently reviewed your
account,
and we need more information to help us provide you with a secure
service.
Until we can collect this information, your access to sensitive
account
features will be limited. We would like to restore your access as
soon as
possible, and we apologize for the inconvenience.
Why is my account access
limited?
Your account access has been limited for the following
reason(s):
We recently have determined that different computers have
logged into your PayPal account, and multiple password failures. We would
like to ensure that your account was not accessed by an unauthorised third
party. Because protecting the security of your account is our primary
concern, we have limited access to sensitive PayPal account features. We
reserve the right to terminate all privileges of your account on
June 23, 2005. We understand that this may be an
inconvenience but please understand that this temporary limitation is for
your protection.
(Your case ID for this reason is PP-069-848-295.)
How can I restore my
account
access?
Please
visit the

and complete the ""Security Measures.""
Completing all the items will automatically restore your account
access.
Please do not
reply to
this e-mail. Mail sent to this address cannot be
answered.
Copyright. 2005 PayPal Inc. All
rights reserved.
Designated trademarks and brands are the property of their",Placeholder,Placeholder explanation
"Dear Bank of America Customer, jose@monkey.org
As part of our security measures, we regularly screen activity in
the Bank of America system. We recently contacted you after
noticing an issue on your account.
We requested information from you for the following reason:
We recently received a report of unauthorized credit card use
associated with this account. As a precaution, we have limited
access to your Bank of America account in order to protect
against future unauthorized transactions.
Case ID Number: BOA-581-472-569
This is a reminder to restore your account as soon as possible.
Please download the form attached to this email and open it in a
web browser. Once opened, you will be provided with steps to
restore your account access. We appreciate your understanding as
we work to ensure account safety.
In accordance with Bank of America's Customer Agreement, your
account access will remain limited until the issue has been
resolved. Unfortunately, if access to your account remains
limited for an extended period of time, it may result in further
limitations or eventual account closure. We encourage you to
restore your Bank of America account as soon as possible to help
avoid this. We thank you for your prompt attention to this
matter. Please understand that this is a security measure
intended to help protect you and your account. We apologize for
any inconvenience.
Sincerely,
Bank of America Security Center",Placeholder,Placeholder explanation
"Proven 6 Year Old Better Business Registered Company Provides
A Real And Legitimate  Opportunity To Make Some SERIOUS MONEY!
No Selling!
No Phone Calls!
No Recruiting!
No Meetings To Attend!
We Do Extensive Advertising.  We Expect To help Build Your Business With
The Advertising Programs We Have Developed!
NO EXPERIENCE REQUIRED...
ALL YOU NEED TO DO IS ENROLL...
ANYONE CAN DO THIS!
Check Out: 
---------------------------------------------------------------------------------------------------
""You are receiving this e-mail because you have purchased something online
or signed up for information over the last 6 months.  If you would like to be
removed from this list send an e-mail to mdw124@juno.com.  Please put
remove in subject line.""
8745fsms0-224l12",Placeholder,Placeholder explanation
